@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
away,0.5625,20.3,17.5,17.0,15.0,8.0,10.0,28.0,1.3,home,0.6875,21.4,13.0,9.0,9.0,2.0,1.0,24.0,-0.7,t2
home,0.625,24.9,20.4,-1.0,4.0,19.0,8.0,23.0,-0.9,away,0.625,19.3,18.4,18.0,17.0,12.0,22.0,29.0,0.0,t1
away,0.625,19.3,18.4,18.0,17.0,12.0,22.0,29.0,0.0,home,0.625,24.9,20.4,-1.0,4.0,19.0,8.0,23.0,-0.9,t2
home,0.75,24.4,16.6,12.0,5.0,5.0,2.0,30.0,-1.1,away,0.75,25.6,17.6,15.0,3.0,9.0,21.0,31.0,-1.1,t1
away,0.75,25.6,17.6,15.0,3.0,9.0,21.0,31.0,-1.1,home,0.75,24.4,16.6,12.0,5.0,5.0,2.0,30.0,-1.1,t2
away,0.625,18.9,16.6,-8.0,18.0,4.0,12.0,15.0,0.8,home,0.6875,21.5,18.1,-10.0,8.0,11.0,19.0,17.0,-0.7,t1
home,0.6875,21.5,18.1,-10.0,8.0,11.0,19.0,17.0,-0.7,away,0.625,18.9,16.6,-8.0,18.0,4.0,12.0,15.0,0.8,t2
home,0.6875,23.2,17.0,7.0,6.0,6.0,14.0,27.0,-1.9,away,0.625,24.9,20.4,-1.0,4.0,19.0,8.0,23.0,-0.9,t1
away,0.625,24.9,20.4,-1.0,4.0,19.0,8.0,23.0,-0.9,home,0.6875,23.2,17.0,7.0,6.0,6.0,14.0,27.0,-1.9,t2
away,0.6875,21.4,13.0,9.0,9.0,2.0,1.0,24.0,-0.7,home,0.8125,21.1,12.7,13.0,11.0,1.0,5.0,20.0,-0.5,t1
